INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	30008034	50000	0			
1	30008048	50000	0			
2	30008009	30000	0			
3	30503018	100000	0			
4	30503019	80000	0			
5	30900006	200548	0			
6	50201001	46000	0			
7	50201002	46000	0			
8	50202001	46000	0			
9	50202002	46000	0			
10	50202003	46000	0			
11	50202004	46000	0			
12	50204002	46000	0			
13	50301001	4000	0			
14	50301002	4000	0			
15	50302001	4000	0			
16	50302002	4000	0			
17	50302003	4000	0			
18	50302004	4000	0			
19	50304002	4000	0			
20	50401001	1600	1			
21	50401002	1600	1			
22	50402001	2000	1			
23	50402002	2000	1			
24	50402003	1600	1			
25	50402004	2000	1			
26	50404002	2000	1			
27	50501001	320	1			
28	50501002	320	1			
29	50502001	400	1			
30	50502002	400	1			
31	50502003	320	1			
32	50502004	400	1			
33	50504002	400	1			
34	50601001	64	1			
35	50601002	64	1			
36	50602001	80	1			
37	50602002	80	1			
38	50602003	64	1			
39	50602004	80	1			
40	50604002	80	1			
41	30504019	200	1			
42	30309612	100	1			
43	10124063	100	1			
44	10124066	100	1			
45	10124135	10000	0			
46	30501132	10000	0			
47	10141091	80	1			
48	30700203	103000	0			
