INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	30008034	120000				
1	30008048	80000				
2	30503018	100000				
3	30503019	100000				
4	30700203	144720				
5	30900006	150000				
6	50701001	15	1			
7	50701002	15	1			
8	50601001	75	1			
9	50601002	75	1			
10	50612003	75	1			
11	50612004	75	1			
12	50612001	75	1			
13	50612002	75	1			
14	50501001	375	1			
15	50501002	375	1			
16	50512003	375	1			
17	50512004	375	1			
18	50512001	375	1			
19	50512002	375	1			
20	30509016	35000				
21	30509020	35000				
22	30502000	187500				
23	30502001	37550				
24	30502002	7500				
