INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	30008007	48300				
1	30008006	48300				
2	30008033	48300				
3	30503019	78700				
4	30008002	78700				
5	30501169	78700				
6	30700203	60000				
7	30008034	125960				
8	30900006	125960				
9	30607001	60000				
10	30502002	78540				
11	30900045	78540				
12	30008048	60000				
13	10141133	10000				
14	10124104	10000				
15	30402072	420	1			
16	30402094	420	1			
17	30402092	420	1			
18	30402056	430	1			
19	30402060	430	1			
20	30402046	420	1			
21	30402036	430	1			
22	30402026	420	1			
23	30402095	420	1			
24	50401001	373	1			
25	50401002	373	1			
26	50402001	373	1			
27	50402002	373	1			
28	50402003	373	1			
29	50402004	373	1			
30	50412003	373	1			
31	50412004	373	1			
32	50412001	373	1			
33	50412002	373	1			
34	50501001	236	1			
35	50501002	236	1			
36	50502001	236	1			
37	50502002	236	1			
38	50502003	236	1			
39	50502004	236	1			
40	50512003	236	1			
41	50512004	236	1			
42	50512001	236	1			
43	50512002	236	1			
44	50513004	100	1			
