INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	20500001	40000	0			
1	20500002	8000	1			
2	20500003	2000	1			
3	20501001	25000	0			
4	20501002	5000	1			
5	20501003	1250	1			
6	20502001	25000	0			
7	20502002	5000	1			
8	20502003	1250	1			
9	10141102	2000	1			
10	30309155	6000	1			
11	30309168	4000	1			
12	30900038	25000	0			
13	30900039	10000	0			
14	30900040	3000	1			
15	30900041	1000	1			
16	30502000	100000	0			
17	30502001	100000	0			
18	30502002	100000	0			
19	30503017	100000	0			
20	30503018	100000	0			
21	30503019	100000	0			
22	30607001	100000	0			
23	30900006	136500	0			
						
						
						
						
						
						
