INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	30501132	20000				
1	30501133	20000				
2	30501153	20000				
3	30501151	20000				
4	31000001	20000				
5	31000003	20000				
6	30607000	100000				
7	30008011	100000				
8	30900006	100000				
9	30502002	100000				
10	30008002	100500				
11	30402096	1000				
12	30402097	1000				
13	30402098	1000				
14	30402099	1000				
15	30402026	300	1			
16	30402092	300	1			
17	30402046	300	1			
18	30402094	300	1			
19	30402072	300	1			
20	30402036	500	1			
21	30402076	500	1			
22	30402078	500	1			
23	30402025	500	1			
24	30402030	500	1			
25	30402034	500	1			
26	30402040	500	1			
27	30402042	500	1			
28	30402044	500	1			
29	30402048	500	1			
30	30402050	500	1			
31	30402012	500	1			
32	30402014	500	1			
33	30402016	500	1			
34	30402018	500	1			
35	30402020	500	1			
36	30402056	500	1			
37	30402060	500	1			
38	30402062	500	1			
39	30402064	500	1			
40	30402066	500	1			
41	30309612	500	1			
42	30402070	500	1			
43	30402074	500	1			
44	30402080	500	1			
45	10141091	500	1			
46	30402093	1500				
47	30402051	1500				
48	30402052	1500				
49	30402053	1500				
50	30402054	1500				
51	30402045	1500				
52	30402029	1500				
53	30402035	1500				
54	30402055	1500				
55	30402059	1500				
56	30402047	1500				
57	30402049	1500				
58	30402061	1500				
59	30402063	1500				
60	30402065	1500				
61	30402067	1500				
62	30402069	1500				
63	30402073	1500				
64	30402033	2000				
65	30402039	2000				
66	30402041	2000				
67	30402043	2000				
68	30402075	2000				
69	30402077	2000				
70	30402079	2000				
71	30008034	50000				
72	30008048	50000				
73	30008009	30000				
74	30309187	5000				
75	10124101	4000				
76	10141804	3000	1			
77	30700203	10000				
78	30501169	90000				
79	30501231	10000				
80	30501222	10000				
81	30501231	10000				
82	30501222	10000				
83	30501213	10000				
84	30501240	10000				
85	30501232	2500				
86	30501223	2500				
87	30501232	2500				
88	30501223	2500				
89	30501214	2500				
90	30501241	2500				
91	30501233	500	1			
92	30501224	500	1			
93	30501233	500	1			
94	30501224	500	1			
95	30501215	500	1			
96	30501242	500	1			
