INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	30008034	50000				
1	30008048	50000				
2	30008009	20000				
3	30503019	80000				
4	30900006	200000				
5	50202003	40000				
6	50201001	40000				
7	50201002	40000				
8	50202001	40000				
9	50202002	40000				
10	50202004	40000				
11	50204002	40000				
12	50302003	20000				
13	50301001	20000				
14	50301002	20000				
15	50302001	20000				
16	50302002	20000				
17	50302004	20000				
18	50304002	20000				
19	50402003	3000	1			
20	50401001	3000	1			
21	50401002	3000	1			
22	50402001	3000	1			
23	50402002	3000	1			
24	50402004	3000	1			
25	50404002	3000	1			
26	50502003	320	1			
27	50501001	320	1			
28	50501002	320	1			
29	50502001	400	1			
30	50502002	400	1			
31	50502004	400	1			
32	50504002	400	1			
33	50602003	64	1			
34	50601001	64	1			
35	50601002	64	1			
36	50602001	80	1			
37	50602002	80	1			
38	50602004	80	1			
39	50604002	80	1			
40	30504019	200	1			
41	10124063	3000	1			
42	10124066	3000	1			
43	30501132	10000				
44	30309734	7000	1			
45	30309733	7000	1			
46	10141091	78	1			
47	30700203	103000				
48	30504046	22100				
49	30504043	350	1			
50	30504044	200	1			
