INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	30900006	150000				
1	30502000	155000				
2	30502001	155000				
3	30502002	155000				
4	30700203	181100				
5	50412003	1000	1			
6	50412004	1000	1			
7	50404002	1000	1			
8	50414001	1000	1			
9	50412001	1000	1			
10	50412002	1000	1			
11	50512003	200	1			
12	50512004	200	1			
13	50504002	200	1			
14	50514001	200	1			
15	50512001	200	1			
16	50512002	200	1			
17	50612003	40	1			
18	50612004	40	1			
19	50604002	40	1			
20	50614001	40	1			
21	50612001	40	1			
22	50612002	40	1			
23	30505041	10000				
24	30505034	10000				
25	30501153	20000				
26	30501151	20000				
27	30309754	500	1			
28	10141062	460	1			
29	10124103	500	1			
30	30509066	40000				
31	30509036	40000				
32	50313004	10000				
33	30008021	20000				
34	30008025	20000				
35	30607001	5000				
