INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	30501169	15000	0			
1	30502002	15000	0			
2	30008034	31000	0			
3	30008048	10000	1			
4	30008009	6000	0			
5	30900006	6000	0			
6	30607001	20000	0			
7	30700203	11000	0			
8	30309731	500	1			
9	10141804	500	1			
10	30509011	500	1			
11	30402087	500	1			
12	30402088	500	1			
13	30402089	500	1			
14	30402090	500	1			
15	30501178	90000	0			
16	30501187	90000	0			
17	30501232	90000	0			
18	30501223	90000	0			
19	30501214	90000	0			
20	30501241	90000	0			
21	30501196	90000	0			
22	30501205	90000	0			
23	30501179	5000	1			
24	30501188	5000	1			
25	30501233	5000	1			
26	30501224	5000	1			
27	30501215	5000	1			
28	30501242	5000	1			
29	30501197	5000	1			
30	30501206	5000	1			
31	30501180	2000	1			
32	30501189	2000	1			
33	30501234	2000	1			
34	30501225	2000	1			
35	30501216	2000	1			
36	30501243	2000	1			
37	30501198	2000	1			
38	30501207	2000	1			
39	30504049	500	1			
40	30504048	1000	1			
41	10124101	5000	0			
42	31000001	30000	0			
43	31000003	30000	0			
44	30402096	10000	0			
45	30402097	10000	0			
46	30402099	10000	0			
47	30402098	10000	0			
