INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	30501169	250000				
1	30900006	160000				
2	30008034	152200				
3	30008048	20000				
4	30502002	40000				
5	50613001	300	1			
6	50613002	300	1			
7	50613004	300	1			
8	50613003	300	1			
9	50613005	300	1			
10	50603001	300	1			
11	50604002	300	1			
12	50614001	300	1			
13	50713001	50	1			
14	50713002	50	1			
15	50713004	50	1			
16	50713003	50	1			
17	50713005	50	1			
18	50703001	50	1			
19	50704002	50	1			
20	50714001	50	1			
21	30008006	80000				
22	30008007	50000				
23	10141115	5000	1			
24	20109009	30000				
25	20109010	30000				
26	20109101	30000				
27	30509025	50000				
28	30509021	50000				
29	30509024	50000				
