INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	10124104	3000	1			
1	50213006	5000				
2	50201001	5000				
3	50201002	5000				
4	50202001	10000				
5	50202002	10000				
6	50202003	10000				
7	50202004	10000				
8	50203001	10000				
9	50204002	10000				
10	50211001	20000				
11	50211002	22000				
12	50212001	10000				
13	50212002	10000				
14	50212003	10000				
15	50212004	10000				
16	50213001	10000				
17	50213002	10000				
18	50213003	20000				
19	50213004	5000				
20	50213005	25000				
21	50214001	10000				
22	30900015	80000				
23	30900006	192000				
24	30008003	238000				
25	30504037	250000				
