INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	50313006	70000	0			
1	50313001	80000	0			
2	50313002	80000	0			
3	50313003	80000	0			
4	50313004	80000	0			
5	50313005	80000	0			
6	50314001	80000	0			
7	50413006	4000	1			
8	50413001	5000	1			
9	50413002	5000	1			
10	50413003	6500	1			
11	50413004	6500	1			
12	50413005	6500	1			
13	50414001	6500	1			
14	50513006	1000	1			
15	50513001	1300	1			
16	50513002	1300	1			
17	50513003	1600	1			
18	50513004	1600	1			
19	50513005	1600	1			
20	50514001	1600	1			
21	50613006	240	1			
22	50613001	330	1			
23	50613002	330	1			
24	50613003	400	1			
25	50613004	400	1			
26	50613005	400	1			
27	50614001	400	1			
28	30008018	250000	0			
29	30900014	70000	0			
30	10141044	20000	0			
31	30309152	37500	0			
32	30309165	20000	0			
