INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	50513002	5000	1			
1	50513005	5000	1			
2	50513003	5000	1			
3	50513001	5000	1			
4	30402090	10000	1			
5	30402034	20000				
6	30402036	20000				
7	30402038	20000				
8	30402040	20000	1			
9	30402042	20000				
10	30402044	20000				
11	30402048	20000				
12	10124049	10000	1			
13	10124070	10000	1			
14	10124044	10000	1			
15	10141028	15000	1			
16	10141038	15000	1			
17	30509503	30000	1			
18	30008009	60000				
19	30008007	60000				
20	30008048	40000				
21	30008034	100000				
22	30900006	160000				
23	30008002	160000				
24	30502002	160000				
