INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	10141087	400	1			
1	30501132	20000				
2	30501133	20000				
3	30501153	20000				
4	30501151	20000				
5	31000001	20000				
6	31000003	20000				
7	30607000	100000				
8	30008011	100000				
9	30900006	100000				
10	30502002	100000				
11	30008002	100500				
12	30402026	400	1			
13	30402092	400	1			
14	30402046	400	1			
15	30402094	400	1			
16	30402072	400	1			
17	30402036	800	1			
18	30402076	800	1			
19	30402078	800	1			
20	30402025	800	1			
21	30402030	800	1			
22	30402034	800	1			
23	30402040	800	1			
24	30402042	800	1			
25	30402044	800	1			
26	30402048	800	1			
27	30402050	800	1			
28	30402012	800	1			
29	30402014	800	1			
30	30402016	800	1			
31	30402018	800	1			
32	30402020	800	1			
33	30402056	800	1			
34	30402060	800	1			
35	30402062	800	1			
36	30402064	800	1			
37	30402066	800	1			
38	30402068	800	1			
39	30402070	800	1			
40	30402074	800	1			
41	30402080	800	1			
42	30402091	800	1			
43	30402093	1500				
44	30402051	1500				
45	30402052	1500				
46	30402053	1500				
47	30402054	1500				
48	30402045	1500				
49	30402029	1500				
50	30402035	1500				
51	30402055	1500				
52	30402059	1500				
53	30402047	1500				
54	30402049	1500				
55	30402061	1500				
56	30402063	1500				
57	30402065	1500				
58	30402067	1500				
59	30402069	1500				
60	30402073	1500				
61	30402033	2000				
62	30402039	2000				
63	30402041	2000				
64	30402043	2000				
65	30402075	2000				
66	30402077	2000				
67	30402079	2000				
68	30008034	50000				
69	30008048	50000				
70	30008009	30000				
71	30309619	5000				
72	10124063	10000				
73	10124066	10000				
74	10141091	300				
75	30700203	10000				
76	30501169	150000				
