INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	50101001	100000	0			
1	50101002	100000	0			
2	50102001	120000	0			
3	50102002	120000	0			
4	50102003	120000	0			
5	50102004	120000	0			
6	50103001	100000	0			
7	50104002	100000	0			
8	50301001	9750	0			
9	50301002	9750	0			
10	50302001	20000	0			
11	50302002	20000	0			
12	50302003	20000	0			
13	50302004	20000	0			
14	50303001	10000	0			
15	50304002	10000	0			
16	50601001	25	1			
17	50601002	25	1			
18	50602001	100	1			
19	50602002	100	1			
20	50602003	100	1			
21	50602004	100	1			
22	50603001	25	1			
23	50604002	25	1			
