INT	INT	INT
ID	等级	最大金钱
1	1	999999999	
2	2	999999999	
3	3	999999999	
4	4	999999999	
5	5	999999999	
6	6	999999999	
7	7	999999999	
8	8	999999999	
9	9	999999999	
10	10	999999999	
11	11	999999999	
12	12	999999999	
13	13	999999999	
14	14	999999999	
15	15	999999999	
16	16	999999999	
17	17	999999999	
18	18	999999999	
19	19	999999999	
20	20	999999999	
21	21	999999999	
22	22	999999999	
23	23	999999999	
24	24	999999999	
25	25	999999999	
26	26	999999999	
27	27	999999999	
28	28	999999999	
29	29	999999999	
30	30	999999999	
31	31	999999999	
32	32	999999999	
33	33	999999999	
34	34	999999999	
35	35	999999999	
36	36	999999999	
37	37	999999999	
38	38	999999999	
39	39	999999999	
40	40	999999999	
41	41	999999999	
42	42	999999999	
43	43	999999999	
44	44	999999999	
45	45	999999999	
46	46	999999999	
47	47	999999999	
48	48	999999999	
49	49	999999999	
50	50	999999999	
51	51	999999999	
52	52	999999999	
53	53	999999999	
54	54	999999999	
55	55	999999999	
56	56	999999999	
57	57	999999999	
58	58	999999999	
59	59	999999999	
60	60	999999999	
61	61	999999999	
62	62	999999999	
63	63	999999999	
64	64	999999999	
65	65	999999999	
66	66	999999999	
67	67	999999999	
68	68	999999999	
69	69	999999999	
70	70	999999999	
71	71	999999999	
72	72	999999999	
73	73	999999999	
74	74	999999999	
75	75	999999999	
76	76	999999999	
77	77	999999999	
78	78	999999999	
79	79	999999999	
80	80	999999999	
81	81	999999999	
82	82	999999999	
83	83	999999999	
84	84	999999999	
85	85	999999999	
86	86	999999999	
87	87	999999999	
88	88	999999999	
89	89	999999999	
90	90	999999999	
91	91	999999999	
92	92	999999999	
93	93	999999999	
94	94	999999999	
95	95	999999999	
96	96	999999999	
97	97	999999999	
98	98	999999999	
99	99	999999999	
100	100	999999999	
101	101	999999999	
102	102	999999999	
103	103	999999999	
104	104	999999999	
105	105	999999999	
106	106	999999999	
107	107	999999999	
108	108	999999999	
109	109	999999999	
110	110	999999999	
111	111	999999999	
112	112	999999999	
113	113	999999999	
114	114	999999999	
115	115	999999999	
116	116	999999999	
117	117	999999999	
118	118	999999999	
119	119	999999999	
120	120	999999999	
121	121	999999999	
122	122	999999999	
123	123	999999999	
124	124	999999999	
125	125	999999999	
126	126	999999999	
127	127	999999999	
128	128	999999999	
129	129	999999999	
130	130	999999999	
131	131	999999999	
132	132	999999999	
133	133	999999999	
134	134	999999999	
135	135	999999999	
136	136	999999999	
137	137	999999999	
138	138	999999999	
139	139	999999999	
140	140	999999999	
141	141	999999999	
142	142	999999999	
143	143	999999999	
144	144	999999999	
145	145	999999999	
146	146	999999999	
147	147	999999999	
148	148	999999999	
149	149	999999999	
150	150	999999999	
